model,run,rmse,cover95,post_sd,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10
DNN_21_mcmc_result,120,0.215627716929588,0.8,0.21359730086346823,2.874,4.7363,3.7862,1.2832,4.985,0.8709,1.7846,0.2086,0.319,0.4596
L.DKMGP_21_mcmc_result,1,1.3321508917713583,1.0,1.2684490070631225,3.67,4.8642,1.433,4.7406,2.8699,0.6171,3.0394,3.4495,4.781,1.8129
L.DKMGP_21_mcmc_result,2,1.1280323029401071,1.0,1.3018863655069621,1.4675,1.2111,3.3854,1.3114,1.9773,2.5577,1.3611,0.7503,1.8711,4.7991
L.DKMGP_21_mcmc_result,3,0.8181783448488249,1.0,1.245667300022103,1.8697,3.7501,1.6893,2.1444,3.3526,3.5584,3.8346,1.3861,0.4436,2.1734
L.DKMGP_21_mcmc_result,4,0.979612949012657,1.0,1.3098267544167874,3.1913,2.4799,3.7183,3.3148,1.8476,1.0148,0.625,4.0088,3.6597,3.788
L.DKMGP_21_mcmc_result,5,0.8864401122755761,1.0,1.225487162607162,4.0561,4.0708,0.5492,0.7665,0.9416,1.7399,2.8014,3.732,4.5399,3.3185
L.DKMGP_21_mcmc_result,6,1.1742531283605613,1.0,1.179397064301515,1.0829,0.3601,4.8751,4.6922,4.2604,4.058,1.7331,1.0719,1.6312,0.1929
L.DKMGP_21_mcmc_result,7,1.2167949040258288,1.0,1.2324271568619858,0.6069,4.5384,3.0989,4.3311,4.8285,3.0414,3.2787,2.7345,4.3323,4.6173
L.DKMGP_21_mcmc_result,8,0.6693225610604494,1.0,1.2177967138707368,2.7156,2.9736,4.251,2.9534,2.3416,2.4099,4.5441,2.3839,0.9249,0.8744
L.DKMGP_21_mcmc_result,9,1.1396032843628003,1.0,1.310098018754144,2.3457,1.7226,1.1501,1.7874,2.6983,4.46,1.0258,4.8532,2.6087,2.6368
L.DKMGP_21_mcmc_result,10,1.0307703695657477,1.0,1.2338065496408195,2.4155,3.1505,3.6177,4.884,1.1526,0.3173,2.0058,2.4633,3.5417,1.2776
L.DKMGP_21_mcmc_result,11,0.9819892998020407,1.0,1.2696372134731124,2.6466,1.8941,1.8186,1.1105,3.8585,2.8609,3.6961,4.7788,0.6316,2.8845
L.DKMGP_21_mcmc_result,12,1.3682751397769768,0.9,1.2546848808574211,4.5815,4.6674,4.765,3.5057,3.5627,4.5855,0.9744,2.6557,1.4358,4.8841
L.DKMGP_21_mcmc_result,13,1.369840615154683,1.0,1.2992936162957869,0.5563,0.9514,0.6689,2.4893,1.4455,2.2674,4.8061,0.3011,4.6509,1.728
L.DKMGP_21_mcmc_result,14,0.9955074447817801,1.0,1.2748035978329229,1.3048,3.8909,2.4051,1.5967,2.0926,0.834,0.2266,3.5051,2.5333,3.7335
L.DKMGP_21_mcmc_result,15,1.2993235658060565,0.9,1.2937526027937012,3.8328,0.194,2.9792,2.6081,3.0615,3.7222,4.367,1.3037,4.2183,0.4285
L.DKMGP_21_mcmc_result,16,0.9923223410512283,0.9,1.293197834880234,3.3953,3.6181,1.2506,0.2182,4.5798,3.9158,1.4903,1.6136,2.725,2.4281
L.DKMGP_21_mcmc_result,17,1.0924449275589365,1.0,1.280497897177161,1.6671,2.3425,4.1217,3.9872,0.5725,1.8657,2.872,3.7764,0.7351,4.1839
L.DKMGP_21_mcmc_result,18,1.1809369383247272,1.0,1.2959763844282062,1.5328,4.7241,0.9172,3.1351,4.1451,2.1092,0.4479,3.2172,2.1739,1.5653
L.DKMGP_21_mcmc_result,19,1.3081381765387308,1.0,1.2634131843370588,3.6063,1.0848,3.8647,1.7014,0.75,4.7622,3.9734,0.9778,3.8576,4.396
L.DKMGP_21_mcmc_result,20,0.7675546047971524,1.0,1.29208262704418,4.2345,2.5565,2.2199,4.2068,1.6554,2.7407,1.8623,1.8641,3.0546,2.7218
L.DKMGP_21_mcmc_result,21,1.170128991460198,1.0,1.2985014721948405,0.8265,1.3767,2.5644,0.6303,3.2367,0.4554,2.634,4.1421,1.0634,0.7895
L.DKMGP_21_mcmc_result,22,1.0887387486976905,1.0,1.2832367287376805,0.3454,3.3303,4.4847,0.891,2.8121,1.439,2.3803,2.0961,3.1763,4.0212
L.DKMGP_21_mcmc_result,23,1.3042847140790068,1.0,1.24787437317531,4.7159,2.1313,0.3121,4.4718,2.5322,4.36,3.4557,4.5274,0.2673,1.94
L.DKMGP_21_mcmc_result,24,0.990171655887046,1.0,1.244191401330466,3.1249,4.2538,3.1891,1.9624,0.3996,3.2575,1.1933,2.9849,1.7594,0.2658
L.DKMGP_21_mcmc_result,25,1.3361240027688386,0.8,1.2614180819505638,2.0138,0.6336,1.6197,3.401,4.9429,1.3168,4.4149,0.5928,4.9757,3.2454
L.DKMGP_21_mcmc_result,26,1.0330286716775823,1.0,1.1568565682758163,2.0862,3.2529,0.426,4.0401,2.0183,0.5535,0.9406,0.9292,0.6691,0.5139
L.DKMGP_21_mcmc_result,27,1.1587351528781644,0.8,1.2548697821216748,3.0514,2.0592,4.9815,0.117,2.9827,2.7956,4.7628,3.2455,3.5781,3.6485
L.DKMGP_21_mcmc_result,28,1.2726043402238545,1.0,1.249355817023996,4.7918,4.186,1.7359,2.6606,4.5059,4.822,2.0491,4.1892,4.6119,4.118
L.DKMGP_21_mcmc_result,29,0.799110042871767,1.0,1.142672165186283,0.2707,0.5519,3.6884,1.4971,0.4933,2.2024,3.7299,1.8349,1.3956,2.4944
L.DKMGP_21_mcmc_result,30,1.292414032750846,0.9,1.2807390909804268,0.747,4.9601,4.3622,2.4372,1.2267,1.2235,1.6103,4.421,4.1066,2.9673
L.DKMGP_21_mcmc_result,31,0.9789333305817183,1.0,1.2938960185086952,4.3152,1.3069,1.0316,3.6052,3.9376,3.1977,2.9824,2.2204,2.4228,1.1946
L.DKMGP_21_mcmc_result,32,0.7752081038195517,1.0,1.1523120448722455,3.5279,2.7829,3.0642,1.0575,3.6371,4.305,0.1162,0.6971,0.853,1.6642
L.DKMGP_21_mcmc_result,33,1.1651889735867536,0.8,1.2545873151177673,1.6099,1.6084,2.3368,4.9856,1.5242,1.3409,4.247,2.8603,2.8442,4.9477
L.DKMGP_21_mcmc_result,34,0.9785165792640281,1.0,1.291577358083483,1.7442,3.9749,2.7882,3.3677,2.5801,2.3224,1.8292,4.751,3.8165,2.0254
L.DKMGP_21_mcmc_result,35,1.0780624722988326,1.0,1.282578765217036,3.317,0.2643,1.9842,2.0814,2.3049,4.6836,2.5912,2.5112,2.1315,3.9362
L.DKMGP_21_mcmc_result,36,0.9622806513898892,1.0,1.1086188072330274,3.9135,3.6926,3.9283,4.4383,0.1673,2.9542,0.4906,0.3309,1.0989,3.1795
L.DKMGP_21_mcmc_result,37,1.3133957505663907,1.0,1.2929368939454953,1.2253,2.4224,0.8274,1.0114,4.7158,0.3771,4.0066,2.6081,3.0888,0.3321
L.DKMGP_21_mcmc_result,38,1.2563390881237948,1.0,1.293803779038547,0.4816,2.9163,1.3983,0.6643,4.3772,1.8058,1.3127,1.18,0.3826,4.4788
L.DKMGP_21_mcmc_result,39,1.1572124558978096,1.0,1.277652269801264,4.6574,1.6653,3.4273,4.0862,0.9773,3.8225,4.5247,3.6107,3.2927,1.4824
L.DKMGP_21_mcmc_result,40,1.1993708604618134,1.0,1.226676957164761,2.5731,4.4428,0.2463,1.7345,1.8873,3.624,2.2704,3.9016,4.8613,0.7257
L.DKMGP_21_mcmc_result,41,1.0558023416227014,1.0,1.2832959177247365,2.4879,0.7131,4.5722,3.0165,3.4642,0.779,3.3363,1.5088,1.6462,2.7854
L.DKMGP_21_mcmc_result,42,1.2787211481592924,1.0,1.307009592139075,2.2708,4.6098,2.1039,1.2011,0.684,4.003,4.9016,3.9802,1.9392,1.1195
L.DKMGP_21_mcmc_result,43,1.0994579488462526,1.0,1.2535264895524032,2.7916,0.8939,2.678,4.7844,4.6197,1.6418,0.7636,1.435,3.9305,3.0429
L.DKMGP_21_mcmc_result,44,1.1265682468105125,1.0,1.2750049924235936,4.4582,3.0546,0.9567,2.2743,3.0971,0.9215,3.5624,1.1008,2.9726,4.7171
L.DKMGP_21_mcmc_result,45,0.8650572614031709,1.0,1.3193849655868972,0.6794,1.7983,3.8277,3.7106,2.2096,3.4986,2.1783,3.6852,1.2887,1.8953
L.DKMGP_21_mcmc_result,46,1.2301327947379754,0.9,1.2793223375170828,1.1601,3.5225,3.298,2.8231,1.3326,4.5199,3.1595,0.1031,3.4107,3.5657
L.DKMGP_21_mcmc_result,47,0.7295433801491877,1.0,1.181223428351009,3.9777,2.247,1.4989,1.3919,3.5218,2.5032,1.4715,2.8405,0.1946,0.5962
L.DKMGP_21_mcmc_result,48,1.2440449779344505,0.8,1.2460079596091211,3.2721,3.8336,4.4525,3.8966,3.8217,0.2514,4.1177,4.9782,1.8416,2.2704
L.DKMGP_21_mcmc_result,49,0.9842643422296485,0.9,1.0612496290861841,1.7901,0.1368,0.3564,0.3177,1.0345,3.0964,0.2836,2.2794,4.7503,4.3415
L.DKMGP_21_mcmc_result,50,1.1525528772423785,1.0,1.2638480596374513,1.3879,2.652,4.8044,1.9164,4.9074,3.3207,2.7683,0.4652,3.7654,1.4072
L.DKMGP_21_mcmc_result,51,1.0888893787755256,1.0,1.2120540785375322,3.7508,1.4722,0.6318,2.9302,0.2826,1.0786,1.6904,3.0874,0.5505,4.5544
L.DKMGP_21_mcmc_result,52,1.261974324062391,1.0,1.2746058452168143,4.1113,4.7814,3.5017,0.5396,2.4208,1.5025,3.8773,4.6535,1.5072,2.5548
L.DKMGP_21_mcmc_result,53,1.1772481758572992,1.0,1.2850715611536208,0.9499,1.142,1.9322,4.3064,2.7722,4.1221,0.6581,1.9927,4.4172,0.9568
L.DKMGP_21_mcmc_result,54,1.3489509838164562,1.0,1.2824683740428806,0.2006,4.3114,1.2183,4.5625,3.2736,2.6511,4.6635,4.2636,2.3095,3.8534
L.DKMGP_21_mcmc_result,55,1.4122769668876187,0.9,1.2775395558548728,4.8604,0.6911,4.1659,0.7914,1.7735,0.6769,1.1357,1.7558,4.2995,2.1077
L.DKMGP_21_mcmc_result,56,1.0063838878469673,0.9,1.2771452551590667,3.0018,3.4262,2.5139,3.186,0.8629,2.0193,3.1688,0.8554,2.6537,0.1081
L.DKMGP_21_mcmc_result,57,0.8998575610575891,0.9,1.2785414451500088,2.1372,2.2272,2.8584,2.1673,4.1859,4.9833,2.3996,3.324,0.9687,3.403
L.DKMGP_21_mcmc_result,58,0.6641251603893611,1.0,1.2347926678326817,2.1122,2.8471,2.2624,2.8806,2.9455,3.0668,1.5348,3.6271,1.3345,0.4062
L.DKMGP_21_mcmc_result,59,0.9608278746280093,0.9,1.2580356979300675,2.9488,1.5811,3.1428,1.8705,2.0531,0.1075,2.9046,1.1576,4.5495,3.2202
L.DKMGP_21_mcmc_result,60,1.222317751579401,0.8,1.1440382384694814,4.9231,4.9669,1.1056,4.2604,0.5354,2.4353,0.1916,1.4536,3.5927,3.996
L.DKMGP_21_mcmc_result,61,1.3032196562002252,1.0,1.269067916257987,0.216,1.2605,4.2829,0.4901,4.4662,4.4143,4.3248,3.9605,0.6829,2.0804
L.DKMGP_21_mcmc_result,62,1.0473536553634328,1.0,1.272387402175182,1.0027,4.2122,3.7628,0.8375,3.9722,3.5838,1.0184,2.2979,2.7906,2.85
L.DKMGP_21_mcmc_result,63,1.4164952633826178,0.9,1.1843154330028602,4.1361,0.4867,1.6574,4.6122,1.1897,0.9691,4.8381,4.9584,0.8004,0.7759
L.DKMGP_21_mcmc_result,64,0.8795920883586134,0.9,1.2815889189089202,3.7358,3.2983,4.9076,2.217,1.4849,1.7653,1.9714,2.7825,2.4463,1.5517
L.DKMGP_21_mcmc_result,65,1.2789430581791634,0.9,1.2651417316662958,1.3255,2.0514,0.5054,3.2321,3.6787,4.0123,3.6546,0.16,4.1313,4.5242
L.DKMGP_21_mcmc_result,66,1.2283675383954735,1.0,1.252839113977204,1.842,4.4124,4.6459,4.8114,2.2631,4.8599,1.2349,1.9741,3.1608,2.5302
L.DKMGP_21_mcmc_result,67,1.134164626020947,1.0,1.20326337761762,3.2958,0.7826,0.1671,1.2317,2.6195,2.01,4.4493,4.6732,1.1695,4.1204
L.DKMGP_21_mcmc_result,68,1.0330822897790686,1.0,1.254839446550558,3.9634,2.8667,3.3527,3.7411,4.7527,0.5917,2.3482,3.1455,2.1275,3.67
L.DKMGP_21_mcmc_result,69,1.1785474065308825,1.0,1.2417172505346739,1.0987,1.6774,1.477,2.3013,0.1329,2.6035,3.4118,0.4084,3.8113,0.5306
L.DKMGP_21_mcmc_result,70,1.298079334522852,0.9,1.2956663772516648,0.656,3.6241,0.7536,1.3614,1.0169,4.19,1.9045,3.382,1.6892,4.974
L.DKMGP_21_mcmc_result,71,1.072348668485881,1.0,1.258945441738583,4.4065,2.4539,4.0074,2.7963,4.3353,1.6081,2.6689,0.7986,4.9054,1.6761
L.DKMGP_21_mcmc_result,72,1.0259702144553906,1.0,1.243186185893268,2.8527,3.9639,2.0587,0.2909,3.4293,1.1082,0.4153,1.7373,3.2584,1.2257
L.DKMGP_21_mcmc_result,73,1.0505878004619438,1.0,1.23724474660969,2.2848,0.3149,2.7094,3.8662,1.9246,3.4646,3.9288,4.2833,0.3497,2.9744
L.DKMGP_21_mcmc_result,74,0.971261487885555,1.0,1.2431094379430785,2.5415,3.787,0.2771,2.0352,4.6569,1.4656,3.0816,1.8164,1.2836,1.0022
L.DKMGP_21_mcmc_result,75,1.277548405171277,0.9,1.3043000353034988,2.5975,0.1434,4.5264,3.318,0.6492,4.3155,1.396,4.2089,2.9684,2.6241
L.DKMGP_21_mcmc_result,76,1.0364055153811407,1.0,1.2696137890294477,4.6427,3.4951,1.5774,0.9617,2.1675,3.2841,4.1956,3.3035,4.0011,4.6046
L.DKMGP_21_mcmc_result,77,0.8832254752993591,1.0,1.2047427691361423,0.4183,2.3111,3.2236,4.3922,3.1368,1.2723,0.3591,0.8724,2.0112,1.4718
L.DKMGP_21_mcmc_result,78,0.9991376564297731,0.9,1.2645054311181134,1.2011,3.0466,3.907,4.1358,3.4872,2.1358,4.9769,2.9183,4.7173,3.458
L.DKMGP_21_mcmc_result,79,1.1237721677712174,0.9,1.1324848933235825,3.8602,1.8435,0.8827,0.7103,1.3696,4.7176,0.8413,0.6402,1.8073,0.1679
L.DKMGP_21_mcmc_result,80,0.8067710981840541,1.0,1.2422513281249605,3.38,4.5444,2.5994,3.0625,1.0738,2.7673,3.4871,2.2019,0.2386,2.1483
L.DKMGP_21_mcmc_result,81,1.1404659585649584,1.0,1.2658676343073552,1.7587,0.92,2.1783,1.7841,3.7801,0.4108,2.1006,4.4408,3.4538,3.9275
L.DKMGP_21_mcmc_result,82,1.0617827423059536,0.9,1.1934928397337297,1.5868,3.4384,2.9371,0.1474,0.3244,0.8074,4.588,2.5501,4.4308,1.9025
L.DKMGP_21_mcmc_result,83,1.1454090466992137,1.0,1.2144867761815832,3.4754,2.1777,2.4394,4.067,4.868,3.7667,1.0578,0.3877,1.522,4.7481
L.DKMGP_21_mcmc_result,84,0.9967349648265561,1.0,1.2641447606637188,4.3772,4.3811,4.0868,1.5239,2.7354,3.8892,3.2443,2.5298,0.4881,3.0548
L.DKMGP_21_mcmc_result,85,1.0371593620752966,1.0,1.27843712550112,0.7606,0.6609,1.2922,2.6911,2.4553,1.9103,2.4775,4.7313,3.7044,1.1458
L.DKMGP_21_mcmc_result,86,1.429098988444525,1.0,1.292017986784434,0.3229,4.8322,1.8535,3.5782,1.734,0.2907,2.846,1.5274,0.9935,4.3582
L.DKMGP_21_mcmc_result,87,0.936217714598029,1.0,1.2802001900953641,4.8146,1.1312,3.5763,2.4067,3.3155,2.9055,1.7657,3.8819,2.6771,2.2919
L.DKMGP_21_mcmc_result,88,1.35878736353553,0.9,1.2696895272436903,3.038,2.6837,0.7111,4.955,4.2208,4.5589,3.7996,3.5527,4.247,0.5986
L.DKMGP_21_mcmc_result,89,1.0597214822619576,1.0,1.2626174322088992,2.0245,1.4039,4.7307,1.0305,0.8256,2.3119,0.5828,1.2368,2.2558,3.6015
L.DKMGP_21_mcmc_result,90,1.424618397997514,0.8,1.2950347994845692,1.9509,4.9096,3.4593,1.6542,3.7144,1.8552,4.1527,0.2825,2.9261,0.2384
L.DKMGP_21_mcmc_result,91,0.9035134100107046,1.0,1.2780618022028147,3.1103,1.2033,1.3538,3.0867,1.6018,3.7911,0.3258,2.6755,1.2425,3.3879
L.DKMGP_21_mcmc_result,92,1.400285607045547,1.0,1.2581768279644814,4.7399,2.7515,4.616,0.5819,1.3014,3.6734,3.1149,4.8367,2.0454,3.8383
L.DKMGP_21_mcmc_result,93,1.2183263516099812,1.0,1.2743293819968082,0.3989,1.4856,0.2138,4.1596,4.0119,0.7476,1.4389,2.4064,4.0366,2.238
L.DKMGP_21_mcmc_result,94,1.0320173013303773,1.0,1.2648975462922203,0.8413,3.2024,1.9403,4.5204,4.4295,2.3718,3.5968,3.8345,1.9238,2.6919
L.DKMGP_21_mcmc_result,95,1.4148379257581694,1.0,1.3079277266105023,4.2977,1.9556,2.8207,0.9383,0.4172,4.6522,2.2199,1.5568,4.8326,0.9342
L.DKMGP_21_mcmc_result,96,1.1155566760556386,1.0,1.2679919984112036,3.5525,4.1546,0.7955,3.4484,1.9405,3.0036,4.8576,1.2851,3.3406,1.3846
L.DKMGP_21_mcmc_result,97,1.3458378317758797,0.9,1.283790178284839,1.5085,0.4291,3.9727,2.0109,2.9044,0.3457,0.7316,3.5248,0.1242,4.6915
L.DKMGP_21_mcmc_result,98,0.8216287593367834,1.0,1.3015615310826563,1.6804,2.9626,1.0757,1.1399,1.813,1.1741,3.2008,4.0841,1.5583,2.3624
L.DKMGP_21_mcmc_result,99,1.0099152900735906,1.0,1.2664636323118708,3.4572,1.7732,4.3295,4.9122,3.3896,3.2291,2.4435,1.921,4.4683,4.2881
L.DKMGP_21_mcmc_result,100,1.0018855207929067,1.0,1.2132420308010503,3.7807,4.4699,2.3689,2.5175,4.2996,4.2556,4.622,0.9963,3.6642,3.5123
L.DKMGP_21_mcmc_result,101,0.6823951425864858,1.0,1.1207948766710794,1.2818,0.8401,3.0196,3.5351,0.9,1.3723,1.1013,3.1974,0.449,0.6882
L.DKMGP_21_mcmc_result,102,1.346164954909176,0.9,1.0702915111035494,0.4942,4.0212,4.9495,2.58,0.2455,0.5042,3.9099,0.6114,2.5666,4.8159
L.DKMGP_21_mcmc_result,103,1.2250595759674696,1.0,1.2974164053702257,4.568,0.3722,0.4706,1.5675,4.7938,2.827,0.7027,2.9652,0.8818,1.8344
L.DKMGP_21_mcmc_result,104,1.0558058904272185,1.0,1.255714642408375,2.6699,3.7197,3.6443,3.958,2.6562,4.7727,2.7261,4.4693,2.375,1.0587
L.DKMGP_21_mcmc_result,105,0.8186446691510367,1.0,1.3045702690359935,2.468,2.5494,1.7686,0.1901,2.3813,2.2338,1.6554,2.1529,4.365,3.1417
L.DKMGP_21_mcmc_result,106,1.1986123979067391,0.9,1.2497269927365797,2.3608,3.5527,4.2004,3.2663,3.8981,2.7016,0.1488,4.5481,4.6564,0.8638
L.DKMGP_21_mcmc_result,107,0.8624762036596455,1.0,1.2659616789553272,2.7779,2.3686,1.1761,2.0971,1.1107,0.6466,4.2915,2.079,1.4402,2.7626
L.DKMGP_21_mcmc_result,108,1.2621060908121144,1.0,1.273711313289318,4.4789,3.8829,2.9,4.6449,1.4106,2.0698,1.5681,0.532,0.5601,4.4559
L.DKMGP_21_mcmc_result,109,1.0754468710072442,0.9,1.204138070260148,0.5823,0.2392,2.4789,0.718,3.6,4.9531,2.9474,3.0397,3.4688,1.6204
L.DKMGP_21_mcmc_result,110,1.116932658094675,1.0,1.2014433085874399,1.0204,4.64,0.5902,0.4576,3.0197,3.3713,2.0811,0.7689,0.7677,3.3101
L.DKMGP_21_mcmc_result,111,1.323573870188956,1.0,1.292115779828508,4.0406,1.0155,4.8395,4.3795,2.132,1.0484,3.7739,3.4298,2.759,0.316
L.DKMGP_21_mcmc_result,112,0.9822591419269737,1.0,1.2647652868997343,3.2162,3.104,1.8978,1.8358,0.6094,1.5531,0.899,4.311,4.1751,2.0094
L.DKMGP_21_mcmc_result,113,1.001787221652223,1.0,1.2632374000898337,1.9228,1.9008,3.5439,3.0006,4.5454,4.0919,4.7284,1.6892,2.4913,4.0667
L.DKMGP_21_mcmc_result,114,1.2275050477463514,1.0,1.3277706414329882,1.4062,4.2855,1.5404,3.8142,0.7847,4.4693,2.3048,1.0534,1.0494,1.764
L.DKMGP_21_mcmc_result,115,1.2288100993607747,1.0,1.2330790366293993,3.6562,0.5653,3.2631,0.3912,4.1081,2.5334,3.3779,3.7517,3.0396,4.8866
L.DKMGP_21_mcmc_result,116,1.190807746491105,0.9,1.2827177993489456,4.2133,3.3811,0.3908,2.7428,3.1975,0.2008,1.2687,4.0668,3.9209,2.9061
L.DKMGP_21_mcmc_result,117,1.090991815758823,1.0,1.302624281307046,0.9243,2.1205,4.4104,1.462,1.6971,3.1266,4.4927,1.3293,2.2359,1.2944
L.DKMGP_21_mcmc_result,118,1.2626054419533608,0.7,1.2623203222577133,0.1423,2.6261,2.6438,2.3549,2.4951,3.9524,0.5256,4.9113,4.9513,4.2103
