source,Basal-Inferoseptal_cir,Basal-Anteroseptal_cir,Basal-Anterior_cir,Basal-Anterolateral_cir,Basal-Inferolateral_cir,Basal-Inferior_cir,Mid-Inferoseptal_cir,Mid-Anteroseptal_cir,Mid-Anterior_cir,Mid-Anterolateral_cir,Mid-Inferolateral_cir,Mid-Inferior_cir,Apical-Septal_cir,Apical-Anterior_cir,Apical-Lateral_cir,Apical-Inferior_cir,Basal-Inferoseptal_rad,Basal-Anteroseptal_rad,Basal-Anterior_rad,Basal-Anterolateral_rad,Basal-Inferolateral_rad,Basal-Inferior_rad,Mid-Inferoseptal_rad,Mid-Anteroseptal_rad,Mid-Anterior_rad,Mid-Anterolateral_rad,Mid-Inferolateral_rad,Mid-Inferior_rad,Apical-Septal_rad,Apical-Anterior_rad,Apical-Lateral_rad,Apical-Inferior_rad
extrema,-0.1468155369322885,-0.167970519461017,-0.15291316831166502,-0.180692354840778,-0.2239060544566345,-0.132681214300213,-0.1493345504947855,-0.14365198024446,-0.106038587292975,-0.1203768303718955,-0.17040796797931101,-0.06757672280537591,-0.14572084009398,-0.0950525532064954,-0.12116706286390319,-0.0966448141180236,0.2345720441219546,0.541256114637866,0.993024663730117,0.8089102661629854,0.7070337027079695,0.4681965019775495,0.44212072382407097,0.3190993478138445,0.519250872631293,0.410625565074047,0.525028538301478,0.34949561821993447,0.320195551760043,0.593751971285606,0.558244009550946,0.346195254536848
row_0,-0.0055549279500938,-0.02785748367581345,-0.005209078605586649,0.0045793506696006495,-0.0037864853930656,-0.00602346533999255,0.00193994291318925,-0.01056316306641385,-0.0016799102527391,-0.00379177699502225,0.0033242540950529998,0.0048987646969964,-0.0031635690490118503,0.0015681332831152,0.012632236361278349,0.0015229096242516,0.018133212505849348,0.03684196187670015,0.06582806350867935,0.0008078743425332493,0.00835924565807315,0.01013473077057235,0.031060291318679947,0.034256653834809594,0.02851244612291505,0.03924570829267555,0.04122807498526935,0.01383944452071565,0.03091136481116515,0.0363652348442182,0.03960352425626295,0.0092725461946643
row_1,-0.021104912557392,-0.07450486672458326,-0.0121502981872619,-0.0014496752845919,-0.02081520453805715,-0.01659882702045885,-0.0057185469384325,-0.0382514602680593,-0.00828641326756125,-0.0085993462672174,-0.00167216745434485,-0.0024435862849040996,-0.0158585511933144,0.0022334202095268,0.01680071731208815,-0.0050473313214684,0.0490098024310484,0.08327157028996905,0.169438390076062,0.007469087102792652,0.00120729637594355,0.04655106312525395,0.0801475170193339,0.08427561599785771,0.08048554459953006,0.07596924625747715,0.09394491910921235,0.0494747800295269,0.0782621506286174,0.0783517605051897,0.0826550792954091,0.0433336211557897
row_2,-0.0398577452442328,-0.1064425099185365,-0.030886341308727302,-0.031635827025065746,-0.05046550506356385,-0.0343375200581264,-0.0278898147060597,-0.06949299205095186,-0.0184192138776339,-0.0292591730812745,-0.03002223855518455,-0.0183375721274854,-0.0384141824345022,-0.0101115469551199,-0.00457466942361785,-0.0193704568673511,0.0749966616938132,0.12789793961791052,0.291513008248942,0.042465024503933,0.0284724095121207,0.09476108909679185,0.12401238562876601,0.11384045406018004,0.1512710797145675,0.1383030032506315,0.156343989929922,0.09356018181823375,0.11906651423626902,0.141400109036515,0.1645158435061565,0.0866108149041924
row_3,-0.062134330952881844,-0.12394092889447,-0.0636973464918745,-0.06635093532492095,-0.0863779521910175,-0.04555750685068305,-0.05883874846663815,-0.09558357094536224,-0.0443834885870715,-0.0499694431961811,-0.06412608355213731,-0.03292431420759335,-0.06536288501974699,-0.0357624667290924,-0.0350519602568123,-0.0377637187558048,0.1047837287556473,0.177652684022442,0.39233758769999,0.09716891385617821,0.08547264130367055,0.1453569091550275,0.1851894546419635,0.157443749570311,0.2242639292582715,0.201917884679766,0.226284549201349,0.14271225121679948,0.1649194237228215,0.216870200748384,0.2535479236828165,0.144926415687368
row_4,-0.0854934796316386,-0.1337644081269375,-0.09488831324146871,-0.1040401239572311,-0.120097161278515,-0.05046971239176075,-0.09237482642446204,-0.1191716826736535,-0.074751631388091,-0.06830784535078754,-0.09841788531935515,-0.0453022421537947,-0.09396285815909644,-0.0648943353524217,-0.06687097983945064,-0.0564662878711721,0.12477597950805645,0.2442384710921975,0.5136080029660826,0.1833433322363155,0.15989244569142802,0.2037809125053035,0.2545443173548475,0.2032200222140455,0.3018032130588195,0.26027760973767,0.3109345606801135,0.20164890933929802,0.2075838235362085,0.284078737591705,0.33950698552936354,0.202637295230211
row_5,-0.104241199272718,-0.1414554846862015,-0.11906158955381702,-0.132697890486391,-0.1532561095175875,-0.05561348619253055,-0.12101371614022549,-0.1374630202329415,-0.09955501766836006,-0.08434433819758455,-0.129951068476537,-0.05668749851510305,-0.1198897259530945,-0.0845113437419868,-0.09275830651557955,-0.0787701896478265,0.1290342824308416,0.3032159533930095,0.62748253849629,0.2957553318813005,0.237526415582685,0.261880350434309,0.329726033276167,0.2559213855811195,0.394004561466229,0.329468621900598,0.393274719396439,0.269307909911703,0.260136379668563,0.368782258842323,0.42754800459515796,0.281719434668988
row_6,-0.1163621794262705,-0.14776807841842748,-0.137189864065315,-0.1560452661407185,-0.18124496491497,-0.0600648504203744,-0.142447567026808,-0.1550678314644325,-0.1117474374398469,-0.10050118613514655,-0.1544470148695635,-0.06563323062866919,-0.140327839554331,-0.0987701224176762,-0.1122139278525982,-0.0950185303906675,0.14235334732148555,0.3539017164827375,0.7182055420868669,0.415973402041227,0.310132176237909,0.31499397424466846,0.406803542333141,0.3012755828567645,0.4808711425955145,0.3896449375906845,0.4754270623276615,0.3417648259945215,0.31148117268223696,0.466548288942463,0.5146156137413029,0.357395719157727
row_7,-0.12370554972136649,-0.153360160457245,-0.1514544085515135,-0.1726690795357705,-0.2019433075090775,-0.0632869618135806,-0.161329256203293,-0.16980841977980599,-0.11557799672249736,-0.1161696785245605,-0.174256408670937,-0.0699300609396199,-0.15717774017019048,-0.102146911609531,-0.1269906699923694,-0.104953801404398,0.14931815768799836,0.392544372269525,0.7890153373912365,0.531969200975312,0.3864335870253745,0.36190201892548046,0.4788916565539165,0.35625838943626853,0.5632381941386685,0.444835361784015,0.555394093661529,0.4070423516720395,0.369250761086364,0.564143638245313,0.5898743362981355,0.429431478979408
row_8,-0.12780659505498448,-0.1598338187369125,-0.15847507093580349,-0.184980436867696,-0.217818193125867,-0.06377541335436396,-0.17182840070351,-0.17789119737244952,-0.11467240340290155,-0.128499859933185,-0.18723508616095552,-0.0690242028074858,-0.1676125390202965,-0.0994685873327898,-0.1400257493859985,-0.110972727104025,0.15526284037493385,0.422459469127473,0.87105438848343,0.6219288470307035,0.4531025166928675,0.3867297124377785,0.5316621285192095,0.3916236008066215,0.628422297761,0.4857936442159625,0.612551058945562,0.447823339263946,0.4244363364858025,0.652491660862185,0.6596545428109515,0.490286928992152
row_9,-0.1281610201030345,-0.165180150639067,-0.158416672760517,-0.193199246131531,-0.2292390232009815,-0.0649756627866062,-0.1645771506439355,-0.16833785553554498,-0.1082335276765605,-0.133030778358246,-0.191620349733899,-0.060416078800716005,-0.1652172390773505,-0.0950525532064954,-0.14487987425018,-0.108838641441666,0.15825603720394235,0.442459174012039,0.9483821552993285,0.683458534775879,0.49737877191958746,0.396670042004404,0.5341211805659476,0.37697187148383604,0.6238970452437504,0.4955011419725855,0.624850068026279,0.42051831034456,0.4496213509178995,0.707373633489869,0.6910577753083871,0.504030081331039
row_10,-0.130264708840475,-0.16718725213720548,-0.1539465916217205,-0.1994198508789205,-0.23525595632874602,-0.06693633083302325,-0.1493345504947855,-0.14365198024446,-0.1025913863620049,-0.13112336827952148,-0.1840858872463875,-0.05068495125368225,-0.14572084009398,-0.0865498924587798,-0.138297563075456,-0.0966448141180236,0.18241079531746404,0.4830195843499365,0.9942672040699341,0.7358328919183126,0.5554914971806826,0.403697675748001,0.46615266140151745,0.3190993478138445,0.566699853623261,0.46063667639004346,0.5670002756385165,0.34949561821993447,0.4023826159794505,0.67460728098449,0.65111975404593,0.431820848380751
row_11,-0.1391855166648815,-0.169726588762936,-0.150412724201751,-0.2032827979089255,-0.23584388010400298,-0.08101527304907215,-0.147205797195792,-0.129149297121716,-0.10431676925190567,-0.1203768303718955,-0.17040796797931101,-0.056347944876533,-0.1242780148057365,-0.075603349159825,-0.12116706286390319,-0.0873329653770195,0.2015402829788544,0.521518578580628,1.0223437066167564,0.8014265752255955,0.6320055266715725,0.431468806422274,0.423864332782969,0.2798374084760755,0.49485155260471,0.410625565074047,0.5088399341613955,0.3158210939894235,0.320195551760043,0.593751971285606,0.558244009550946,0.346195254536848
row_12,-0.148388436520058,-0.1715105699865495,-0.1492868660216655,-0.199671408141014,-0.2309178575394465,-0.107251145028465,-0.1566872707768125,-0.1221481359199987,-0.1032455264347719,-0.10028581111400764,-0.149350163898567,-0.07301346090745445,-0.1198179455684755,-0.0700356377875946,-0.09845866551664781,-0.0919956539632682,0.2221464202409799,0.5438987907176804,1.0336060612776121,0.863774494656167,0.707233136583111,0.4675288897792385,0.3978375719404055,0.279404401955935,0.39664426437732847,0.323979309406005,0.4245370464857995,0.30068427702169953,0.29514136768480703,0.492403106392363,0.44853826246276296,0.301603304005535
row_13,-0.1468155369322885,-0.162903728854726,-0.132532795567569,-0.180692354840778,-0.21377563400739802,-0.132681214300213,-0.165349784723247,-0.1104790670632035,-0.08839688350074165,-0.06911015387079136,-0.10654214329364811,-0.06982629741728805,-0.129622161465449,-0.0608228718331487,-0.0740750040515909,-0.104680786313494,0.2345720441219546,0.541256114637866,0.918441715866684,0.8089102661629854,0.7070337027079695,0.4681965019775495,0.3511187779109235,0.258837557465223,0.25943658466902597,0.156244223271797,0.246664425103542,0.27404539037793396,0.29426518631438947,0.369006188129318,0.293090032377446,0.285245750885461
